Ref,Val,Package,PosX,PosY,Rot,Side
"J1","GPIO","PinSocket_2x20_P2.54mm_Vertical",8.370000,51.230000,-90.000000,bottom
"D1","LED","LED_D3.0mm",1.500000,34.500000,0.000000,top
"D2","LED","LED_D3.0mm",1.500000,28.500000,0.000000,top
"D3","LED","LED_D3.0mm",1.460000,22.500000,0.000000,top
"D4","LED","LED_D3.0mm",1.460000,16.500000,0.000000,top
"J3","Relay","JST_XH_S3B-XH-A_1x03_P2.50mm_Horizontal",49.750000,10.000000,0.000000,top
"J4","LCD","JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal",10.000000,10.000000,0.000000,top
"J5","RC522","JST_XH_S8B-XH-A_1x08_P2.50mm_Horizontal",24.750000,9.945000,0.000000,top
"R3","180","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",46.500000,34.500000,-90.000000,top
"R4","180","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",52.000000,34.500000,-90.000000,top
"R5","180","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",57.000000,34.500000,-90.000000,top
"R6","180","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",62.000000,34.500000,-90.000000,top
